WKT;id;nom;type;uri
"MULTIPOINT ((901389.657677824 6441400.89150769))";"5921553476";;information#guidepost;http://purl.org/choucas.ign.fr/oor#panneau
"MULTIPOINT ((898734.763523765 6439205.49526205))";"5984274";Route de Villard-de-Lans au Clos de la Balme;highway#tertiary;http
"MULTIPOINT ((900738.722791609 6444534.30453822))";"5985118";Avenue du Général de Gaulle;highway#tertiary;http
"MULTIPOINT ((902899.21907458 6442985.02878845))";"60172864";;bridge#yes;http://purl.org/choucas.ign.fr/oor#pont
"MULTIPOINT ((900760.810269989 6444762.40405543))";"6020089993";Georges Perec;amenity#library;http
"MULTIPOINT ((900694.27937891 6440215.59914573))";"604736561";Le Lauzet;natural#wetland;http://purl.org/choucas.ign.fr/oor#milieu_humide
"MULTIPOINT ((900551.96850325 6444668.20500821))";"6071305431";Gendarmerie nationale;amenity#police;http://purl.org/choucas.ign.fr/oor#poste_de_police
"MULTIPOINT ((901465.154633288 6441839.34682212))";"612266925";Allée des Chevreuils;highway#service;http
"MULTIPOINT ((901442.767139124 6441821.94673234))";"612266954";;leisure#playground;http://purl.org/choucas.ign.fr/oor#parc
"MULTIPOINT ((901511.813737864 6441770.56708773))";"612266959";Allée des Mouflons;highway#service;http
"MULTIPOINT ((902591.84662015 6442927.16183289))";"61687493";La Fauge;waterway#stream;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
"MULTIPOINT ((901646.317083765 6443783.18736623))";"61687496";La Fauge;waterway#stream;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
"MULTIPOINT ((901787.556165153 6443728.73908323))";"61687502";La Fauge;waterway#stream;"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau"
"MULTIPOINT ((901008.15254103 6439207.21545749))";"620028194";Crêtes;aerialway#station;http://purl.org/choucas.ign.fr/oor#gare
"MULTIPOINT ((903082.073409294 6443149.84931123))";"62137726";GR91;highway#path;http
"MULTIPOINT ((902178.261007431 6440042.04041843))";"627272849";Cote2000;free_flying:official#yes;"http://purl.org/choucas.ign.fr/oor#secteur_d&apos;atterrissage_parapente"
"MULTIPOINT ((901328.821508417 6441360.3592718))";"627272850";Atterrissage FFVL Télécabine Cote2000;free_flying:official#yes;"http://purl.org/choucas.ign.fr/oor#secteur_d&apos;atterrissage_parapente"
"MULTIPOINT ((900520.898584767 6444337.95138527))";"6361111739";Table d'Orientation;tourism#viewpoint;http
"MULTIPOINT ((900521.795751801 6444341.86957263))";"6361112273";;amenity#bench;http
"MULTIPOINT ((900523.651543482 6444340.48491561))";"6361112274";;amenity#bench;http
"MULTIPOINT ((900524.735059927 6444338.63084422))";"6361112275";;amenity#bench;http
