WKT;id;nom;type;uri
"MULTIPOINT ((903030.5 6437148.2))";PAIOROGR0000000007455991;Col des Deux Sœurs;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((898773.1 6438872.9))";PAIOROGR0000000007455903;Combe du Souillet;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((904609.2 6444989.0))";PAIOROGR0000000007455522;Combe Noire;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((901699.4 6437109.4))";PAIOROGR0000000007455998;Col des Moucherolles;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((904680.4 6443740.5))";PAIOROGR0000000007455606;Roc Cornafion;Sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((904181.2 6441225.2))";PAIOROGR0000000007455779;Rochers du Ranc des Agnelons;Escarpement;http://purl.org/choucas.ign.fr/oor#escarpement
"MULTIPOINT ((903551.0 6438568.1))";PAIOROGR0000000007455894;les Aiguilles;Pic;http://purl.org/choucas.ign.fr/oor#pic
"MULTIPOINT ((902662.8 6438682.6))";PAIOROGR0000000007455895;Rochers des Jaux;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((902530.2 6438710.7))";PAIOROGR0000000007455896;la Cote 2000;Sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((899732.4 6439016.5))";PAIOROGR0000000007455902;Rochers des Combeauvieux;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((904584.3 6434295.2))";PAIOROGR0000000007456225;Crête de la Ferrière;Crête;http://purl.org/choucas.ign.fr/oor#crête
"MULTIPOINT ((898919.5 6430784.3))";PAIOROGR0000000007456417;Rochers de la Peyrouse;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((901468.9 6434486.8))";PAIOROGR0000000007456230;Chasau;Crête;http://purl.org/choucas.ign.fr/oor#crête
"MULTIPOINT ((899018.8 6434673.7))";PAIOROGR0000000007456232;Clos de la Fure;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((903567.2 6433583.7))";PAIOROGR0000000007456227;Soliet;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((901210.9 6445053.1))";PAIOROGR0000000007455524;Combe Pourouze;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((902923.0 6435120.7))";PAIOROGR0000000007456116;les Reynes;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((902614.0 6442067.9))";PAIOROGR0000000007455698;Collet des Clots;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((902660.2 6434887.2))";PAIOROGR0000000007456117;les Châtelas;Plaine;http://purl.org/choucas.ign.fr/oor#plaine
"MULTIPOINT ((903403.4 6443250.0))";PAIOROGR0000000007455607;le Mont Chillon;Crête;http://purl.org/choucas.ign.fr/oor#crête
"MULTIPOINT ((902419.1 6444277.5))";PAIOROGR0000000007455609;Combe du Bayle;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((901678.8 6437872.9))";PAIOROGR0000000007456001;Combe de l'Ourson;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((903945.5 6435762.3))";PAIOROGR0000000007456113;les Bruyères;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((901141.2 6438797.6))";PAIOROGR0000000007455899;Combe de l'Escalier;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((900130.2 6439609.5))";PAIOROGR0000000007455900;Combe des Mayousses;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((903275.0 6435509.4))";PAIOROGR0000000007456115;la Rousse;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((901532.1 6437895.1))";PAIOROGR0000000007456000;Scialet de la Cuillère à Pot;Gouffre;http://purl.org/choucas.ign.fr/oor#gouffre
"MULTIPOINT ((904744.2 6441517.1))";PAIOROGR0000000007455695;Glacière;Grotte;http://purl.org/choucas.ign.fr/oor#grotte
"MULTIPOINT ((901682.4 6432819.6))";PAIOROGR0000000007456315;Pey Bousou;Sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((901513.7 6438189.0))";PAIOROGR0000000007455898;Combe de l'Ours;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((903626.9 6435163.6))";PAIOROGR0000000007456114;le Bénitier;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((900176.5 6430224.0))";PAIOROGR0000000007456416;Combe Crose;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((899498.2 6439316.2))";PAIOROGR0000000007455901;Scialet de Perrette;Gouffre;http://purl.org/choucas.ign.fr/oor#gouffre
"MULTIPOINT ((901725.3 6431882.1))";PAIOROGR0000000007456314;Merlé;Sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((903449.9 6438948.4))";PAIOROGR0000000007455892;Grand Couloir;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((902907.5 6434481.5))";PAIOROGR0000000007456229;le Cros;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((899333.1 6436351.3))";PAIOROGR0000002003910401;Scialet de la Combe du Fer;Gouffre;http://purl.org/choucas.ign.fr/oor#gouffre
"MULTIPOINT ((904406.8 6442654.8))";PAIOROGR0000000007455696;Col Vert;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((903990.9 6444694.1))";PAIOROGR0000000070447450;Combe Chaulange;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((900086.9 6435614.7))";PAIOROGR0000000007456122;le Goulot;Col;http://purl.org/choucas.ign.fr/oor#col
